SentId,Word,POS,Tag
NaN,ben,NNC,O
NaN,laro,VBAF,O
Sentence: 29,wakas,RBW,O
NaN,kaniya,PRSP_CCP,O
NaN,pamilya,NNC,Humans_Body
NaN,naidlip,VBTS,O
NaN,tanghali,RBW,Natural_Environment
Sentence: 30,kuha,VBOF,O
NaN,pusa,NNC,Animals
NaN,pisi,NNC,O
Sentence: 31,laro,VBAF,O
NaN,sina,DTPP,O
NaN,ben,NNP,O
NaN,pusa,NNC,Animals
Sentence: 32,sobra,JJCS_CCP,O
NaN,saya,NNC,Objects
Sentence: 33,bumagsaknaku,VBTR_VBAF,O
NaN,po,RBS,O
Sentence: 34,iyak,VBAF,O
NaN,bunso,NNC,Humans_Body
Sentence: 35,alit,VBRF,O
NaN,nanay,NNC,Humans_Body
NaN,ben,NNC,O
Sentence: 36,alit,VBRF,O
NaN,tatay,NNC,Humans_Body
NaN,ben,NNC,O
Sentence: 37,rin,RBI,O
NaN,lolo,NNC,Humans_Body
NaN,alit,VBTS,O
NaN,kay,DTP,O
NaN,ben,NNP,O
Sentence: 38,sagot,VBAF,O
NaN,ben,FW,O
NaN,mga,DTCP,O
NaN,tanda,NNC,O
Sentence: 39,wala,VBN,O
NaN,ako,PRS_CCP,Humans_Body
NaN,lugar,NNC,Natural_Environment
NaN,laro,VBAF,O
NaN,liit,JJD,O
NaN,bahay,NNC,Urban_Environment
NaN,laki,JJD,O
NaN,pamilya,NNC,Humans_Body
Sentence: 40,iyak,VBAF,O
NaN,ben,RBI,O
NaN,nang,RBW,O
NaN,lakas,JJD,O
Sentence: 41,iyak,VBAF,O
NaN,ben,RBD,O
NaN,nang,RBD,O
NaN,hina,RBD,O
Sentence: 42,ben,FW,O
NaN,tulog,VBTS,O
Sentence: 43,nagising,VBTS,O
NaN,ben,NNC,O
Sentence: 44,tila,RBM,O
NaN,iba,JJD,O
NaN,tahanan,NNC,Objects
Sentence: 45,wala,VBN,O
NaN,bunso,NNC,Humans_Body
NaN,wala,VBN,O
NaN,nanay,NNC,Humans_Body
NaN,wala,VBN,O
NaN,lola,NNC,Humans_Body
Sentence: 46,wala,VBN,O
NaN,lolo,NNC,Humans_Body
Sentence: 47,wala,VBN,O
NaN,tatay,NNC,Humans_Body
Sentence: 48,wala,VBN,O
NaN,tiyo,NNC,Humans_Body
NaN,tiya,NNC,O
Sentence: 49,ben,FW,O
NaN,nag,VBTS,O
NaN,iisa,PRI,O
NaN,tahanan,NNC,Objects
Sentence: 50,anda,JJD,O
Sentence: 51,bigla,RBD_CCP,O
NaN,dilim,VBAF,Natural_Environment
Sentence: 52,nangyari,VBTS,O
Sentence: 53,kidlat,VBAF,Natural_Environment
NaN,langit,NNC,Natural_Environment
Sentence: 54,dagundong,VBTR_VBAF_CCP,O
NaN,lupa,NNC,Natural_Environment
Sentence: 55,silang,PRP_CCP,Humans_Body
Sentence: 56,rinig,VBTS,O
NaN,ben,FW,O
NaN,ulan,NNC,Natural_Environment
Sentence: 57,rinig,VBTS,O
NaN,nanay,NNC,Humans_Body
Sentence: 58,kaniya,PRSP_CCP,O
NaN,lolo,NNC,Humans_Body
NaN,lola,NNC,Humans_Body
Sentence: 59,bunso,NNC,Humans_Body
Sentence: 60,tuloy,RBD,O
NaN,ulan,NNC,Natural_Environment
Sentence: 61,uwi,VBTS,O
NaN,rin,RBI,O
NaN,tatay,NNC,Humans_Body
Sentence: 62,tiyo,NNC,Humans_Body
NaN,tiya,NNC,O
NaN,uwi,VBTS,O
NaN,rin,RBI,O
Sentence: 63,basa,JJD_CCP,O
NaN,basa,NNC,O
Sentence: 64,panatag,JJD,O
NaN,loob,NNC,O
NaN,ben,NNC,O
Sentence: 65,anda,JJD,O
NaN,rin,RBI,O
NaN,pala,NNC,Objects
NaN,mayroong,VBH_CCP,O
NaN,laki,JJD_CCP,O
NaN,pamilya,NNC,Humans_Body
Sentence: 66,puwede,RBT,O
NaN,naman,RBI,O
NaN,siya,PRS_CCP,O
NaN,laro,VBAF,O
NaN,labas,JJD,O
NaN,lagi,RBW,O
Sentence: 67,ligo,VBW,O
NaN,kain,VBAF,O
Sentence: 68,puchku,RBD,O
NaN,pasok,VBAF,O
NaN,klase,NNC,O
NaN,sakay,VBAF,O
NaN,bus,NNC,Transportation
NaN,puchku,NNC,O
NaN,gawin,VBOF,O
NaN,mo,PRS,O
NaN,takda,JJD_CCP,O
NaN,aral,VBOF,O
Sentence: 69,puchku,NNC,O
Sentence: 70,puchku,JJD,O
NaN,abala,NNC,O
Sentence: 71,aklat,NNC,Objects
NaN,siya,PRS_CCP,O
NaN,basa,VBOF,O
Sentence: 72,puchku,FW,O
NaN,lagi,RBW_CCP,O
NaN,basa,VBTR,O
NaN,bahay,NNC,Urban_Environment
NaN,paaralan,NNC,Urban_Environment
NaN,palaruan,NNC,Urban_Environment
NaN,kama,NNC,Objects
Sentence: 73,pahina,NNC,O
NaN,pahina,NNC,O
NaN,aklat,NNC,Objects
NaN,isa,PRI_CCP,O
NaN,aklat,NNC,Objects
NaN,isa,PRI,O
NaN,isa,PRI,O
NaN,basa,VBTS,O
Sentence: 74,bakit,PRQ,O
NaN,lagi,RBW,O
NaN,kang,PRS_CCP,O
NaN,basa,VBTR,O
NaN,puchku,NNC,O
NaN,tanong,NNC,O
NaN,boltu,NNC,O
Sentence: 75,halika,NNC,O
NaN,nood,VBW,O
NaN,lang,RBI,O
NaN,kartun,NNC,O
NaN,dodla,NNC,O
Sentence: 76,mas,JJCC,O
NaN,saya,JJD,Objects
NaN,aklat,NNC,Objects
NaN,puchku,NNC,O
Sentence: 77,tignan,VBOF,O
NaN,mo,PRS,O
NaN,kita,VBTR,O
NaN,mo,PRS,O
NaN,ba,RBI,O
NaN,yung,PRO_CCP,O
NaN,bilog,NNC,Objects
NaN,ito,PRO_CCP,O
NaN,pantay,JJD,O
NaN,guhit,NNC,O
NaN,tulak,VBOF,O
NaN,loob,RBL,O
NaN,hila,VBOF,O
NaN,yan,PRO,O
NaN,nang,RBD,O
NaN,labas,RBD,O
NaN,itoy,RBD,O
NaN,igi,RBD,O
NaN,letra,NNC,O
Sentence: 78,pantay,VBW,O
NaN,patay,VBOF,O
NaN,mga,DTCP,O
NaN,letra,NNC,O
NaN,buo,VBTF,O
NaN,salita,NNC,O
NaN,mga,DTCP,O
NaN,salita,NNC,O
NaN,pwede,RBT_CCP,O
NaN,talinghaga,VBW,O
NaN,pwede,RBT_CCP,O
NaN,tuwa,RBD,O
NaN,pwede,RBT_CCP,O
NaN,lungkot,JJD,O
NaN,pwede,RBT_CCP,O
NaN,saya,JJD,Objects
Sentence: 79,pagsasasamahin,VBOF,O
NaN,mo,PRS,O
NaN,mga,DTCP,O
NaN,salita,NNC,O
NaN,buo,VBTF,O
NaN,naman,RBI,O
NaN,pangungusap,NNC,O
Sentence: 80,mga,DTCP,O
NaN,sama,VBRF_CCP,O
NaN,mga,DTCP,O
NaN,pangungusap,NNC,O
NaN,buo,VBTF,O
NaN,mga,DTCP,O
NaN,kuwento,NNC,O
Sentence: 81,basa,VBOF,O
NaN,mo,PRS,O
NaN,naku,PRS,O
NaN,kang,PRS_CCP,O
NaN,nasa,RBL,O
NaN,iba,PRI_CCP,O
NaN,mundo,NNC,Natural_Environment
Sentence: 82,puchku,RBD,O
NaN,lungkot,JJD,O
Sentence: 83,naubusan,VBTS,O
NaN,aklat,NNC,Objects
NaN,basa,NNC,O
NaN,aklat,NNC,Objects
NaN,pwede,RBT,O
NaN,kuha,VBW,O
NaN,silid,NNC,Urban_Environment
NaN,aklat,NNC,Objects
NaN,basa,VBTS,O
NaN,nya,PRS,O
NaN,una,JJN_CCP,O
NaN,kabanata,NNC,O
NaN,katapusan,NNC,O
Sentence: 84,ano,PRQ_CCP,O
NaN,wala,VBN,O
NaN,ako,PRS_CCP,Humans_Body
NaN,aklat,NNC,Objects
NaN,basa,VBTF,O
NaN,hagulgol,FW,O
NaN,puchku,FW,O
Sentence: 85,sandali,RBW,O
NaN,lang,RBI,O
NaN,yung,PRO_CCP,O
NaN,roon,PRL,O
NaN,tingala,VBAF,O
NaN,puchku,VBAF,O
NaN,di,RBF,O
NaN,lang,RBI,O
NaN,isa,PRI,O
NaN,dalawa,JJN,O
NaN,tatlo,JJN,O
NaN,pang,RBI_CCP,O
NaN,lalagyan,NNC,O
NaN,aklat,NNC,Objects
NaN,puno,JJD_CCP,O
NaN,puno,NNC,O
NaN,dami,PRI_CCP,O
NaN,aklat,NNC,Objects
NaN,bulong,NNC,O
NaN,puchku,NNC,O
Sentence: 86,naku,RBD,O
NaN,isa,PRI,O
NaN,pang,RBI_CCP,O
NaN,problema,NNC,O
Sentence: 87,liit,JJD,O
Sentence: 88,lalagyan,VBTF,O
NaN,aklat,NNC,Objects
NaN,ubod,JJD,O
NaN,taas,NNC,O
Sentence: 89,akyat,VBW,O
NaN,puchku,NNC,O
Sentence: 90,baka,RBM,Animals
NaN,puwede,RBT,O
NaN,siya,PRS_CCP,O
NaN,gamit,VBAF,Objects
NaN,tali,NNC,Objects
NaN,sampay,NNC,O
NaN,tela,NNC_CCP,Objects
NaN,tibay,JJD,O
NaN,akyat,VBW,O
NaN,di,RBF,O
NaN,mga,DTCP,O
NaN,upuan,NNC,Objects
NaN,lamesa,NNC,Objects
NaN,nasa,RBL,O
NaN,loob,JJD,O
NaN,silid,NNC,Urban_Environment
NaN,aklat,NNC,Objects
Sentence: 91,tingin,VBOF,O
NaN,puchku,RBD,O
NaN,laki,RBD,O
NaN,tulong,RBD,O
NaN,dyirap,RBD,Animals
Sentence: 92,tsing,JJD_CCP,O
Sentence: 93,plano,NNC,O
NaN,puchku,NNC,O
Sentence: 94,tawag,VBOF,O
NaN,boltu,FW,O
NaN,dodla,FW,O
NaN,hingi,VBAF,O
NaN,tulong,NNC,O
Sentence: 95,tahimik,JJD,O
NaN,inakyat,VBTS,O
NaN,isa,PRI,O
Sentence: 96,boltu,FW,O
NaN,bigat,NNC,O
NaN,mo,PRS,O
NaN,reklamo,NNC,O
NaN,dodla,NNC,O
Sentence: 97,naman,RBI,O
NaN,hindi,RBF,O
NaN,mo,PRS,O
NaN,kina,VBOF,O
NaN,yung,PRO,O
NaN,nag,PRSP_CCP,O
NaN,isa,PRI_CCP,O
NaN,puto,NNC,Objects
Sentence: 98,hindi,RBF,O
NaN,ako,PRS,Humans_Body
NaN,yun,PRO,O
NaN,boltu,NNC,O
Sentence: 99,puchku,RBR,O
NaN,shhh,FW,O
NaN,lapit,JJD,O
NaN,puchku,NNC,O
Sentence: 100,nang,RBW,O
NaN,bigla,RBD_CCP,O
NaN,mali,JJD,O
Sentence: 101,ahhhhhhh,NNC,O
Sentence: 102,ano,PRQ_CCP,O
NaN,nangyayari,VBTR,O
NaN,dati,VBAF,O
NaN,tangkad,JJCS_JJD,Humans_Body
NaN,laybraryan,NNC,Animals
NaN,baba,VBTS_VBOF,O
NaN,nya,PRS,O
NaN,puchku,NNC,O
Sentence: 103,boltu,FW,O
NaN,dodla,FW,O
NaN,takbo,VBAF,O
NaN,layo,RBD,O
NaN,lungkot,RBD,O
NaN,tinig,VBOF,O
NaN,puchku,JJD,O
NaN,mga,DTCP,O
NaN,aklat,NNC,Objects
NaN,muntik,RBD,O
NaN,nya,PRS,O
NaN,kuha,VBW,O
Sentence: 104,puwede,RBT,O
NaN,ba,RBI,O
NaN,ako,PRS_CCP,Humans_Body
NaN,tulo,VBAF,O
NaN,tanong,NNC,O
NaN,tangkad,JJCS_JJD,Humans_Body
NaN,laybraryan,NNC,Animals
Sentence: 105,akyat,VBTR,O
NaN,aklat,NNC,Objects
NaN,aparador,NNC,Objects
Sentence: 106,naubusan,VBTS,O
NaN,ako,PRS,Humans_Body
NaN,aklat,NNC,Objects
NaN,basa,VBTF,O
NaN,lungkot,JJD,O
NaN,puchku,NNC,O
Sentence: 107,bakit,PRQ,O
NaN,hindi,RBF,O
NaN,sabi,VBTS,O
NaN,tanong,NNC,O
NaN,tangkad,JJCS_JJD,Humans_Body
NaN,laybraryan,NNC,Animals
Sentence: 108,nandito,VBTS,O
NaN,ako,PRS,Humans_Body
NaN,hindi,RBF,O
NaN,mo,PRS,O
NaN,akyat,VBOF,O
NaN,aklat,NNC,Objects
NaN,aparador,NNC,Objects
Sentence: 109,pwede,VBS,O
NaN,ba,RBI,O
NaN,kita,NNC,O
NaN,buhat,VBOF,O
NaN,tango,VBAF,O
NaN,puchku,NNC,O
Sentence: 110,kukunin,VBTF_VBOF,O
NaN,rin,RBI,O
NaN,saya,JJD_CCP,Objects
NaN,puchku,NNC,O
Sentence: 111,salamat,RBS,O
NaN,po,RBS,O
NaN,kunin,VBOF,O
NaN,mo,PRS,O
NaN,rin,RBI,O
NaN,libraryang,NNC_CCP,O
NaN,tangkad,JJCS_JJD,Humans_Body
Sentence: 112,noo,RBW_CCP,Humans_Body
NaN,ako,PRS,Humans_Body
NaN,bata,NNC,Humans_Body
NaN,aklat,NNC,Objects
Sentence: 113,liit,JJD,O
NaN,rin,RBI,O
NaN,tanong,NNC,O
NaN,puchku,NNC,O
Sentence: 114,oo,RBT,O
NaN,naman,RBI,O
NaN,mas,JJCC,O
NaN,liit,JJD,O
NaN,sayo,PRSP,O
NaN,tangkad,JJCS_JJD,Humans_Body
NaN,laybraryan,NNC,Animals
Sentence: 115,tangkad,VBAF,Humans_Body
NaN,ako,PRS,Humans_Body
NaN,tangkad,VBTF,Humans_Body
Sentence: 116,mo,PRS,O
NaN,aklat,NNC,Objects
NaN,nandito,RBR,O
NaN,ako,PRS,Humans_Body
NaN,bigay,VBOF,O
NaN,sayo,PRSP,O
Sentence: 117,kinig,VBTR,O
NaN,ba,RBI,O
NaN,hindi,RBF,O
NaN,nasa,RBL,O
NaN,loob,JJD,O
NaN,aklat,NNC,Objects
Sentence: 118,bilog,JJD,Objects
NaN,linya,NNC,O
NaN,letra,NNC,O
NaN,isa,PRI,O
Sentence: 119,tapos,RBW,O
NaN,isa,PRI_CCP,O
NaN,salita,NNC,O
NaN,isa,PRI,O
Sentence: 120,nasa,RBL,O
NaN,isa,PRI_CCP,O
NaN,istorya,NNC,O
NaN,naman,RBI,O
Sentence: 121,bago,JJD_CCP,O
NaN,aklat,NNC,Objects
Sentence: 122,ngayong,RBW_CCP,O
NaN,araw,RBW,Natural_Environment
NaN,dami,PRI_CCP,O
Sentence: 123,tulo,VBTF,O
Sentence: 124,nanay,NNC,Humans_Body
NaN,tulo,VBTR_VBAF,O
Sentence: 125,tatay,NNC,Humans_Body
NaN,tulo,VBTR_VBAF,O
Sentence: 126,tulo,VBTR_VBAF,O
NaN,kuya,NNC,Humans_Body
Sentence: 127,tulo,VBTR_VBAF,O
NaN,lola,NNC,Humans_Body
Sentence: 128,tulo,VBTR_VBAF,O
NaN,lolo,NNC,Humans_Body
Sentence: 129,tulo,VBTR_VBAF,O
NaN,tito,NNC,Humans_Body
Sentence: 130,ngayong,RBW_CCP,O
NaN,araw,NNC,Natural_Environment
NaN,araw,NNC,Natural_Environment
NaN,ate,NNC,Humans_Body
Sentence: 131,tulo,VBAF,O
NaN,kami,PRP_CCP,O
Sentence: 132,avanti,FW,O
NaN,isa,PRI_CCP,O
NaN,tagapangalaga,NNC,Humans_Body
NaN,pitara,NNC,Objects
NaN,zoo,NNC,Urban_Environment
Sentence: 133,napakaraming,JJCS_JJD_CCP,O
NaN,mga,DTCP,O
NaN,hayop,NNC,Animals
NaN,pitara,JJD,Objects
NaN,palakaibigan,RBD,O
NaN,oso,FW,Animals
NaN,ballu,FW,O
Sentence: 134,ballu,FW,O
NaN,laki,JJD,O
NaN,kulay,NNC,O
NaN,kayumanggi,JJD,O
NaN,lakas,JJD,O
Sentence: 135,kaniya,PRSP_CCP,O
NaN,apat,JJN,O
NaN,araw,NNC,Natural_Environment
NaN,avanti,CCT,O
NaN,handa,VBTS,O
NaN,isa,PRI_CCP,O
NaN,simple,JJD_CCP,O
NaN,handa,NNC,O
NaN,kay,DTP,O
NaN,ballu,NNP,O
Sentence: 136,ballu,VBS,O
NaN,mo,PRS,O
NaN,bang,RBI_CCP,O
NaN,hipan,NNC,O
NaN,mga,DTCP,O
NaN,kandila,NNC,Objects
NaN,nang,RBW,O
NaN,sabay,RBD,O
NaN,sabay,RBD,O
NaN,tanong,NNC,O
NaN,avanti,NNC,O
Sentence: 137,syempre,FW,O
NaN,wika,NNC,O
NaN,ballu,NNC,O
Sentence: 138,puno,NNC,O
NaN,hangin,NNC,Natural_Environment
NaN,kaniya,PRSP_CCP,O
NaN,dibdib,NNC,Humans_Body
Sentence: 139,hihip,FW,O
NaN,hihip,FW,O
NaN,whoosh,FW,O
Sentence: 140,lakas,JJD,O
NaN,ihip,FW,O
NaN,hangin,NNC,Natural_Environment
NaN,patay,VBAF,O
NaN,mga,DTCP,O
NaN,kandila,NNC,Objects
Sentence: 141,akyat,VBAF,O
NaN,bangga,VBAF,O
NaN,mga,DTCP,O
NaN,ulap,NNC,Natural_Environment
NaN,langit,NNC,Natural_Environment
Sentence: 142,bigla,RBD_CCP,O
NaN,lakas,JJD,O
NaN,kulog,NNC,O
NaN,simula,VBTS_CCP,O
NaN,patak,VBAF,O
NaN,ulan,NNC,Natural_Environment
Sentence: 143,wow,FW,O
NaN,umuulan,VBTR_VBAF,Natural_Environment
NaN,isda,NNC,Animals
NaN,sigaw,NNC,O
NaN,avanti,NNC,O
Sentence: 144,ballu,FW,O
NaN,pati,FW,O
NaN,ligid,JJD,O
NaN,mangha,VBTS,O
NaN,kuha,VBAF,O
NaN,laki,JJD_CCP,O
NaN,basket,FW,Objects
NaN,takbo,VBAF,O
NaN,nang,RBD,O
NaN,takbo,VBAF,O
NaN,habang,RBW,O
NaN,salo,VBTR,O
NaN,mga,DTCP,O
NaN,isda,NNC,Animals
NaN,mula,VBTR,O
NaN,langit,NNC,Natural_Environment
Sentence: 145,tuwi,RBW,O
NaN,puno,VBW,O
NaN,basket,FW,Objects
NaN,dala,VBTR,O
NaN,liit,JJD,O
NaN,palaisdaan,NNC,Natural_Environment
NaN,bilis,RBD,O
NaN,balik,VBTR_VBAF,O
NaN,kuha,VBAF,O
NaN,uli,RBW,O
Sentence: 146,kaniya,PRSP_CCP,O
NaN,dali,VBW,O
NaN,balik,JJD,O
NaN,balik,NNC,O
NaN,palaisdaan,NNC,Natural_Environment
NaN,lingon,RBD,O
NaN,taas,VBTR_VBAF,O
NaN,tubig,NNC,Natural_Environment
NaN,avanti,NNC,O
NaN,takot,NNC,O
NaN,takot,NNC,O
Sentence: 147,nagmamadaling,RBD_CCP,O
NaN,balik,VBAF,O
NaN,karga,VBOF,O
NaN,ballu,FW,O
NaN,avanti,FW,O
Sentence: 148,lagay,VBTS,O
NaN,kaniya,PRSP_CCP,O
NaN,mga,DTCP,O
NaN,kamay,NNC,Humans_Body
NaN,leeg,NNC,Animals
NaN,ballu,NNC,O
NaN,sobra,JJCS,O
NaN,kaniya,PRSP_CCP,O
NaN,salamat,RBS,O
Sentence: 149,maya,RBW,Animals
NaN,maya,RBW,Animals
NaN,wala,VBTS,O
NaN,ulap,NNC,Natural_Environment
NaN,kita,VBTS,O
NaN,araw,NNC,Natural_Environment
Sentence: 150,isa,PRI_CCP,O
NaN,saya,JJD_CCP,Objects
NaN,araw,NNC,Natural_Environment
NaN,sikat,VBAF,O
Sentence: 151,hindi,RBF,O
NaN,uuliting,FW,O
NaN,pahipan,FW,O
NaN,sayo,PRSP,O
NaN,mga,DTCP,O
NaN,kandila,NNC,Objects
NaN,nang,RBW,O
NaN,sabay,RBD,O
NaN,sabay,RBD,O
Sentence: 152,avanti,NNC,O
Sentence: 153,bakit,PRQ,O
NaN,tanong,NNC,O
NaN,ballu,NNC,O
Sentence: 154,hindi,RBF,O
NaN,natin,PRP,Humans_Body
NaN,alam,VBS,O
NaN,baka,RBM,Animals
NaN,sunod,VBTF,O
NaN,ulan,VBAF,Natural_Environment
NaN,naman,RBI,O
NaN,mga,DTCP,O
NaN,palaka,NNC,O
NaN,dalawa,JJN_CCP,O
NaN,ibig,NNC,O
NaN,simula,VBTS_CCP,O
NaN,tawa,RBD,O
Sentence: 155,bago,JJD_CCP,O
NaN,sumbrero,NNC,Objects
NaN,bountong,NNC,O
Sentence: 156,kulay,NNC,O
NaN,kayumanggi,JJD,O
NaN,haba,JJD_CCP,O
NaN,buntot,NNC,Humans_Body
Sentence: 157,ito,PRO_CCP,O
NaN,mga,DTCP,O
NaN,sungay,NNC,Objects
NaN,lalaki,JJD_CCP,Humans_Body
NaN,mga,DTCP,O
NaN,mata,NNC,O
Sentence: 158,hawig,JJD,O
NaN,buk,FW,O
NaN,le,FW,O
NaN,kaniya,PRSP_CCP,O
NaN,kalabaw,NNC,Animals
Sentence: 159,ihip,VBAF,O
NaN,lakas,JJD,O
NaN,hangin,NNC,Natural_Environment
NaN,buntot,NNC,Humans_Body
NaN,lipad,VBTR_VBAF,O
NaN,taas,JJD,O
Sentence: 160,saya,JJD,Objects
NaN,bountong,NNC_CCP,O
NaN,kaniya,PRSP_CCP,O
NaN,bago,JJD_CCP,O
NaN,sumbrero,NNC,Objects
Sentence: 161,suot,VBTS,Objects
NaN,takbo,RBD,O
NaN,punta,VBOF,O
NaN,buk,FW,O
NaN,le,FW,O
Sentence: 162,silang,PRP_CCP,Humans_Body
NaN,laro,VBAF,O
NaN,dalawa,JJN_CCP,O
NaN,kalabaw,NNC,Animals
Sentence: 163,takbo,VBAF,O
NaN,bukid,NNC,Natural_Environment
NaN,ihip,NNC,O
NaN,hangin,NNC,Natural_Environment
Sentence: 164,woooooo,JJD,O
NaN,sigaw,NNC,O
NaN,bountong,NNC,O
Sentence: 165,mooooo,FW,O
NaN,sambit,FW,O
NaN,buk,FW,O
NaN,le,FW,O
Sentence: 166,woooosh,FW,O
NaN,ihip,FW,O
NaN,hangin,NNC,Natural_Environment
Sentence: 167,wheeee,FW,O
NaN,sumbrero,NNC,Objects
Sentence: 168,bigla,RBD_CCP,O
NaN,ihip,VBAF,O
NaN,lakas,RBD,O
NaN,hangin,NNC,Natural_Environment
Sentence: 169,hila,VBTS,O
NaN,buntot,NNC,Humans_Body
NaN,kaniya,PRSP_CCP,O
NaN,sumbrero,NNC,Objects
NaN,lipad,NNC,O
Sentence: 170,sabit,VBAF,O
NaN,kay,DTP,O
NaN,boutong,NNC_CCP,O
NaN,buntot,NNC,Humans_Body
NaN,sumbrero,NNC,Objects
Sentence: 171,hulog,VBTS,O
NaN,kay,DTP,O
NaN,buk,NNP,O
NaN,le,NNC,O
Sentence: 172,lungkot,VBTS,O
NaN,buk,FW,O
NaN,le,FW,O
NaN,kaniya,PRSP_CCP,O
NaN,kaibigan,NNC,Humans_Body
Sentence: 173,nag,VBTS,O
NaN,alala,NNC,O
NaN,kaniya,PRSP,O
NaN,hangin,NNC,Natural_Environment
Sentence: 174,kaniya,PRSP_CCP,O
NaN,sumbrero,NNC,Objects
NaN,ramdam,VBTS,O
NaN,awa,NNC,O
Sentence: 175,alis,NNC,O
NaN,sigaw,NNC,O
NaN,bountong,NNC,O
Sentence: 176,hagis,VBTS,O
NaN,sumbrero,NNC,Objects
Sentence: 177,lipad,NNC,O
NaN,hangin,NNC,Natural_Environment
NaN,taas,NNC,O
NaN,nang,RBW,O
NaN,taas,NNC,O
Sentence: 178,alis,NNC,O
NaN,alis,NNC,O
NaN,alis,NNC,O
NaN,hangin,NNC,Natural_Environment
NaN,sumbrero,NNC,Objects
Sentence: 179,lungkot,JJD,O
NaN,paalam,VBTS,O
NaN,sumbrero,NNC,Objects
Sentence: 180,lipad,VBAF,O
NaN,sumbrero,NNC,Objects
NaN,hangin,NNC,Natural_Environment
Sentence: 181,laho,RBD,O
Sentence: 182,simula,VBTS_CCP,O
NaN,ihip,FW,O
NaN,hangin,NNC,Natural_Environment
Sentence: 183,simula,VBTS_CCP,O
NaN,buhos,VBAF,O
NaN,ulan,NNC,Natural_Environment
Sentence: 184,isip,VBTS,O
NaN,bountong,NNC_CCP,O
NaN,kaniya,PRSP_CCP,O
NaN,sumbrero,NNC,Objects
Sentence: 185,balik,VBAF,O
NaN,sina,DTPP,O
NaN,bountong,FW,O
NaN,buk,FW,O
NaN,le,FW,O
NaN,bukid,NNC,Natural_Environment
Sentence: 186,buhos,VBAF,O
NaN,ulan,NNC,Natural_Environment
NaN,karayom,NNC,Objects
NaN,mga,DTCP,O
